movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
Marriage Story,2019,R,7653254,137,"Comedy, Drama, Romance",94.0,7.9,249440,2.00
The Double Life of Véronique,1991,R,101765,98,"Drama, Fantasy, Music",86.0,7.8,42692,2.00
The Tenant,1976,R,74811,126,"Drama, Thriller",71.0,7.7,40064,1.92
Delicatessen,1991,R,101700,99,"Comedy, Crime",66.0,7.6,80700,1.79
Kal Ho Naa Ho,2003,Not Rated,347304,186,"Comedy, Drama, Musical",54.0,8.0,63612,1.79
M.S. Dhoni: The Untold Story,2016,Not Rated,4169250,184,"Biography, Drama, Sport",,7.8,40639,1.78
Naked,1993,Not Rated,107653,132,"Comedy, Drama",84.0,7.8,34789,1.77
Flipped,2010,PG,817177,90,"Comedy, Drama, Romance",45.0,7.7,81696,1.75
Cries & Whispers,1972,R,69467,91,Drama,,8.1,30386,1.74
English Vinglish,2012,Not Rated,2181931,134,"Comedy, Drama, Family",,7.8,33749,1.67
Capharnaüm,2018,R,8267604,126,Drama,75.0,8.4,63939,1.66
The Celebration,1998,R,154420,105,Drama,82.0,8.0,78674,1.65
Bhaag Milkha Bhaag,2013,Not Rated,2356180,186,"Biography, Drama, Sport",,8.2,61286,1.63
Citizen Kane,1941,PG,33467,119,"Drama, Mystery",100.0,8.3,405257,1.59
Withnail & I,1987,R,94336,107,"Comedy, Drama",84.0,7.7,40521,1.54
Dogville,2003,R,276919,178,"Crime, Drama",60.0,8.0,138366,1.53
The Virgin Spring,1960,Not Rated,53976,89,Drama,,8.1,26799,1.53
The Tale of The Princess Kaguya,2013,PG,2576852,137,"Animation, Adventure, Drama",89.0,8.0,39112,1.51
Departures,2008,PG-13,1069238,130,"Drama, Music",68.0,8.1,48724,1.50
Donnie Darko,2001,R,246578,113,"Drama, Mystery, Sci-Fi",88.0,8.0,742114,1.48
Three Colors: White,1994,R,111507,92,"Comedy, Drama, Romance",88.0,7.6,64852,1.46
Down by Law,1986,R,90967,107,"Comedy, Crime, Drama",75.0,7.8,47991,1.44
Queen,2013,Not Rated,3322420,146,"Adventure, Comedy, Drama",,8.2,60836,1.43
Kelly's Heroes,1970,GP,65938,144,"Adventure, Comedy, War",50.0,7.6,45426,1.38
