genre_ids,popularity,release_date,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
"['Drama', 'Action', 'Thriller', 'War']",53.199,2009-08-18,Inglourious Basterds,2009,R,361748,153,"Adventure, Drama, War",8.3,1274250,120.54,8
"['Comedy', 'Drama']",14.247,1960-02-05,La Dolce Vita,1960,Not Rated,53779,174,"Comedy, Drama",8.0,66867,19.52,2
['Drama'],12.527,1950-10-06,All About Eve,1950,Passed,42192,138,Drama,8.2,120998,0.01,10
"['Mystery', 'Thriller']",23.603,2000-10-11,Memento,2000,R,209144,113,"Mystery, Thriller",8.4,1129736,25.54,10
"['Crime', 'Drama']",23.134,1976-02-09,Taxi Driver,1976,R,75314,114,"Crime, Drama",8.2,728316,28.26,2
"['Comedy', 'Music', 'Romance']",13.272,1952-04-09,Singin' in the Rain,1952,G,45152,103,"Comedy, Musical, Romance",8.3,219920,8.82,4
"['Crime', 'Drama', 'Mystery', 'Thriller']",11.386,1944-06-14,Double Indemnity,1944,Passed,36775,107,"Crime, Drama, Film-Noir",8.3,144173,5.72,6
"['Drama', 'Mystery', 'Thriller']",23.47,2006-10-19,The Prestige,2006,PG-13,482571,130,"Drama, Mystery, Sci-Fi",8.5,1195533,53.09,10
"['Drama', 'Science Fiction']",14.331,1927-02-06,Metropolis,1927,Not Rated,17136,153,"Drama, Sci-Fi",8.3,160671,1.24,2
"['Animation', 'Science Fiction']",21.154,2001-05-26,Metropolis,1927,Not Rated,17136,153,"Drama, Sci-Fi",8.3,160671,1.24,5
"['Comedy', 'Crime']",8.824,1998-03-05,"Lock, Stock and Two Smoking Barrels",1998,R,120735,107,"Action, Comedy, Crime",8.2,536919,3.9,3
"['Action', 'Drama', 'Adventure']",33.713,2000-05-01,Gladiator,2000,R,172495,155,"Action, Adventure, Drama",8.5,1346622,187.71,5
"['Crime', 'Thriller', 'Drama']",418.789,2019-10-02,Joker,2019,R,7286456,122,"Crime, Drama, Thriller",8.4,950919,335.45,10
['Drama'],23.671,2011-08-09,The Help,2011,PG-13,1454029,146,Drama,8.0,430104,169.71,8
"['Drama', 'History', 'War']",31.162,1998-07-24,Saving Private Ryan,1998,R,120815,169,"Drama, War",8.6,1241046,216.54,7
"['Drama', 'Thriller', 'Mystery']",37.191,2010-02-14,Shutter Island,2010,R,1130884,138,"Mystery, Thriller",8.2,1136596,128.01,2
"['Crime', 'Thriller']",28.714,1992-09-02,Reservoir Dogs,1992,R,105236,99,"Crime, Drama, Thriller",8.3,922257,2.83,9
"['Comedy', 'Music', 'Romance', 'Crime']",11.638,1959-03-19,Some Like It Hot,1959,Passed,53291,121,"Comedy, Music, Romance",8.2,244899,25.0,3
"['Drama', 'History']",14.933,1966-12-16,Andrei Rublev,1966,R,60107,205,"Biography, Drama, History",8.1,47324,0.1,12
"['Drama', 'Romance']",16.029,1942-11-26,Casablanca,1942,PG,34583,102,"Drama, Romance, War",8.5,524034,1.02,11
"['Drama', 'Thriller', 'Crime']",25.892,2006-10-05,The Departed,2006,R,407887,151,"Crime, Drama, Thriller",8.5,1194986,132.38,10
"['Action', 'Crime', 'Drama', 'Thriller']",47.667,1983-12-09,Scarface,1983,R,86250,170,"Crime, Drama",8.3,744303,45.6,12
"['Action', 'Crime', 'Drama', 'Thriller']",13.684,1932-04-09,Scarface,1983,R,86250,170,"Crime, Drama",8.3,744303,45.6,4
"['Drama', 'History', 'War']",90.641,2016-10-07,Hacksaw Ridge,2016,R,2119532,139,"Biography, Drama, History",8.1,438861,67.21,10
"['Action', 'Science Fiction']",42.047,1999-03-30,The Matrix,1999,R,133093,136,"Action, Sci-Fi",8.7,1683677,171.48,3
"['Comedy', 'War', 'Drama']",44.958,2019-10-18,Jojo Rabbit,2019,PG-13,2584384,108,"Comedy, Drama, War",7.9,302603,0.35,10
"['Drama', 'War']",26.976,1987-06-26,Full Metal Jacket,1987,R,93058,116,"Drama, War",8.3,677648,46.36,6
['Drama'],7.27,1998-11-20,Central Station,1998,R,140888,110,Drama,8.0,36554,5.6,11
"['Animation', 'Drama', 'Mystery']",18.381,2017-06-22,Loving Vincent,2017,PG-13,3262342,94,"Animation, Biography, Crime",7.8,51077,6.74,6
"['Drama', 'Action', 'Thriller', 'Crime']",13.092,1931-05-11,M,1931,Passed,22100,99,"Crime, Mystery, Thriller",8.3,144120,0.03,5
['Drama'],22.756,1997-12-05,Good Will Hunting,1997,R,119217,126,"Drama, Romance",8.3,865441,138.43,12
"['Crime', 'Drama']",18.456,2017-11-10,"Three Billboards Outside Ebbing, Missouri",2017,R,5027774,115,"Comedy, Crime, Drama",8.1,436163,54.51,11
['Drama'],19.171,2016-01-20,Lion,2016,PG-13,3741834,118,"Biography, Drama",8.0,215106,51.74,1
"['Drama', 'Romance']",16.45,2000-09-29,In the Mood for Love,2000,PG,118694,98,"Drama, Romance",8.1,125262,2.73,9
['Drama'],17.151,2007-12-28,There Will Be Blood,2007,R,469494,158,Drama,8.2,520076,40.22,12
"['Drama', 'Western']",40.26,2012-12-25,Django Unchained,2012,R,1853728,165,"Drama, Western",8.4,1364478,162.81,12
"['Horror', 'Science Fiction']",36.729,1979-05-25,Alien,1979,R,78748,117,"Horror, Sci-Fi",8.4,790850,78.9,5
"['Drama', 'Romance']",10.028,1948-07-22,The Red Shoes,1948,Not Rated,40725,135,"Drama, Music, Romance",8.1,31089,10.9,7
['Drama'],13.468,1984-08-23,"Paris, Texas",1984,R,87884,145,Drama,8.1,91911,2.18,8
['Drama'],11.84,1995-05-31,La Haine,1995,Not Rated,113247,98,"Crime, Drama",8.1,151269,0.31,5
"['Comedy', 'Drama']",21.589,1998-06-04,The Truman Show,1998,PG,120382,103,"Comedy, Drama",8.1,944513,125.62,6
"['Action', 'Adventure', 'Comedy', 'Drama', 'War']",13.514,1926-12-25,The General,1926,Passed,17925,67,"Action, Adventure, Comedy",8.1,81525,1.03,12
"['Fantasy', 'Animation', 'Family']",35.41,1988-04-16,My Neighbor Totoro,1988,G,96283,86,"Animation, Family, Fantasy",8.2,293222,1.11,4
"['Drama', 'Romance']",16.029,2010-02-11,My Name Is Khan,2010,PG-13,1188996,165,Drama,8.0,98820,4.02,2
"['Drama', 'Thriller']",18.438,2015-10-16,Room,2015,R,3170832,118,"Drama, Thriller",8.1,373803,14.68,10
"['Science Fiction', 'Drama', 'Romance']",30.851,2004-03-19,Eternal Sunshine of the Spotless Mind,2004,R,338013,108,"Drama, Romance, Sci-Fi",8.3,915048,34.4,3
['Drama'],13.087,1957-10-03,Nights of Cabiria,1957,Not Rated,50783,110,Drama,8.1,43082,0.75,10
"['Drama', 'War', 'Mystery']",10.725,2010-09-04,Incendies,2010,R,1255953,131,"Drama, Mystery, War",8.3,151164,6.86,9
['Drama'],13.622,2012-09-24,The Hunt,2012,R,2106476,115,Drama,8.3,283731,0.69,9
"['Action', 'Thriller', 'Horror']",36.563,2020-03-11,The Hunt,2012,R,2106476,115,Drama,8.3,283731,0.69,3
"['Action', 'Drama', 'History']",13.177,1985-06-01,Ran,1985,R,89881,162,"Action, Drama, War",8.2,113074,4.14,6
"['Crime', 'Drama', 'Thriller']",17.867,2003-05-02,Memories of Murder,2003,Not Rated,353969,132,"Crime, Drama, Mystery",8.1,141095,0.01,5
"['Drama', 'Romance']",33.815,2005-09-16,Pride & Prejudice,2005,PG,414387,129,"Drama, Romance",7.8,260577,38.41,9
"['Drama', 'History']",12.604,1928-04-21,The Passion of Joan of Arc,1928,Passed,19254,114,"Biography, Drama, History",8.1,48060,0.02,4
"['Drama', 'Thriller']",10.17,2006-03-15,The Lives of Others,2006,R,405094,137,"Drama, Mystery, Thriller",8.4,360169,11.29,3
"['Mystery', 'Drama']",16.896,1941-04-17,Citizen Kane,1941,PG,33467,119,"Drama, Mystery",8.3,405257,1.59,4
"['Science Fiction', 'Mystery', 'Adventure']",29.633,1968-04-02,2001: A Space Odyssey,1968,G,62622,149,"Adventure, Sci-Fi",8.3,605833,56.95,4
"['Crime', 'Drama']",12.34,1954-06-22,On the Waterfront,1954,Approved,47296,108,"Crime, Drama, Thriller",8.1,142663,9.6,6
"['Drama', 'History', 'War']",15.828,1981-09-16,Das Boot,1981,R,82096,149,"Adventure, Drama, Thriller",8.3,232728,11.49,9
"['Drama', 'Action', 'Crime']",24.917,2007-10-12,Elite Squad,2007,R,861739,115,"Action, Crime, Drama",8.0,98331,0.01,10
"['Drama', 'Family', 'Comedy']",46.267,2017-04-12,Gifted,2017,PG-13,4481414,101,Drama,7.6,100292,24.8,4
"['Comedy', 'Crime', 'Drama']",13.937,1973-12-25,The Sting,1973,PG,70735,129,"Comedy, Crime, Drama",8.3,242352,159.6,12
['Drama'],6.054,2004-08-07,Nobody Knows,2004,PG-13,408664,141,Drama,8.1,25026,0.68,8
"['Crime', 'Thriller']",10.504,1954-05-29,Dial M for Murder,1954,PG,46912,105,"Crime, Thriller",8.2,159086,0.01,5
"['Comedy', 'Drama']",25.169,2014-02-26,The Grand Budapest Hotel,2014,R,2278388,99,"Adventure, Comedy, Crime",8.1,711445,59.1,2
['Drama'],20.571,1999-09-15,American Beauty,1999,R,169547,122,Drama,8.3,1073105,130.1,9
"['Music', 'Drama', 'History']",69.562,2018-10-24,Bohemian Rhapsody,2018,PG-13,1727824,134,"Biography, Drama, Music",8.0,454332,216.43,10
['Western'],15.438,1965-05-10,For a Few Dollars More,1965,R,59578,132,Western,8.2,233719,15.0,5
"['History', 'Drama', 'Thriller', 'War']",32.652,2014-11-14,The Imitation Game,2014,PG-13,2084970,114,"Biography, Drama, Thriller",8.0,688286,91.13,11
"['Action', 'Thriller', 'Science Fiction']",40.962,1991-07-03,Terminator 2: Judgment Day,1991,R,103064,137,"Action, Sci-Fi",8.5,998638,204.84,7
"['Drama', 'Action']",11.547,2016-12-21,Dangal,2016,Not Rated,5074352,161,"Action, Biography, Drama",8.4,157650,12.39,12
"['Adventure', 'Drama', 'Western']",14.539,1948-01-15,The Treasure of the Sierra Madre,1948,Passed,40897,126,"Adventure, Drama, Western",8.2,114735,5.01,1
"['Adventure', 'Comedy', 'Drama']",12.362,1925-07-12,The Gold Rush,1925,Passed,15864,95,"Adventure, Comedy, Drama",8.2,101595,5.45,7
"['Crime', 'Drama', 'Thriller']",10.257,2000-10-06,Requiem for a Dream,2000,R,180093,102,Drama,8.3,769841,3.64,10
['Music'],15.14,1982-07-14,Pink Floyd: The Wall,1982,R,84503,95,"Drama, Fantasy, Music",8.1,76287,22.24,7
"['Drama', 'War']",14.718,1978-03-09,The Deer Hunter,1978,R,77416,183,"Drama, War",8.1,312645,48.98,3
"['Drama', 'History']",34.716,2016-12-10,Hidden Figures,2016,PG,4846340,127,"Biography, Drama, History",7.8,202017,169.61,12
"['Drama', 'War', 'Romance']",15.843,1939-12-15,Gone with the Wind,1939,Passed,31381,238,"Drama, History, Romance",8.1,291071,198.68,12
"['Drama', 'Thriller', 'Crime']",27.602,2013-09-18,Prisoners,2013,R,1392214,153,"Crime, Drama, Mystery",8.1,604471,61.0,9
['Drama'],8.912,1991-12-20,Raise the Red Lantern,1991,PG,101640,125,"Drama, History, Romance",8.1,29766,2.6,12
"['Drama', 'Comedy', 'Romance']",17.381,1994-07-14,Chungking Express,1994,PG-13,109424,102,"Comedy, Crime, Drama",8.1,63699,0.6,7
