genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count
"['Adventure', 'Drama', 'Action', 'Comedy']",1059,ja,6.693,1958-12-28,The Hidden Fortress,8.0,341
"['Crime', 'Thriller']",521,en,10.504,1954-05-29,Dial M for Murder,8.0,1654
"['Comedy', 'Drama', 'Romance']",614409,en,904.581,2021-02-12,To All the Boys: Always and Forever,8.1,808
"['Comedy', 'Drama']",120467,en,25.169,2014-02-26,The Grand Budapest Hotel,8.0,10720
"['Drama', 'Romance']",237791,pt,9.701,2014-03-28,The Way He Looks,8.0,746
"['Drama', 'History']",821,en,8.707,1961-12-01,Judgment at Nuremberg,8.0,451
['Drama'],14,en,20.571,1999-09-15,American Beauty,8.0,8993
"['Comedy', 'Drama']",429210,pt,6.547,2017-08-24,Bingo: The King of the Mornings,8.0,285
"['Music', 'Drama', 'History']",424694,en,69.562,2018-10-24,Bohemian Rhapsody,8.0,12863
"['Comedy', 'Drama', 'Fantasy']",29264,es,6.148,1962-05-16,The Exterminating Angel,8.0,415
['Western'],938,it,15.438,1965-05-10,For a Few Dollars More,8.0,2591
"['History', 'Drama', 'Thriller', 'War']",205596,en,32.652,2014-11-14,The Imitation Game,8.0,13195
"['Drama', 'Crime']",595,en,13.642,1962-12-25,To Kill a Mockingbird,8.0,1778
"['Action', 'Thriller', 'Science Fiction']",280,en,40.962,1991-07-03,Terminator 2: Judgment Day,8.0,9042
"['Drama', 'Action']",360814,hi,11.547,2016-12-21,Dangal,8.0,562
"['Adventure', 'Drama', 'Western']",3090,en,14.539,1948-01-15,The Treasure of the Sierra Madre,8.0,706
"['Adventure', 'Comedy', 'Drama']",962,en,12.362,1925-07-12,The Gold Rush,8.0,991
"['Animation', 'Family', 'Science Fiction']",10681,en,51.582,2008-06-22,WALL·E,8.0,14002
"['Crime', 'Drama', 'Thriller']",641,en,10.257,2000-10-06,Requiem for a Dream,8.0,6967
"['Drama', 'Comedy', 'Romance']",18438,ko,8.803,2009-05-14,Castaway on the Moon,8.0,424
['Music'],12104,en,15.14,1982-07-14,Pink Floyd: The Wall,8.0,1003
"['Drama', 'War']",11778,en,14.718,1978-03-09,The Deer Hunter,8.0,2479
"['Drama', 'History']",381284,en,34.716,2016-12-10,Hidden Figures,8.0,6602
"['Drama', 'War', 'Romance']",770,en,15.843,1939-12-15,Gone with the Wind,8.0,2846
['Drama'],7508,hi,12.888,2007-12-21,Like Stars on Earth,8.0,648
"['Animation', 'Fantasy', 'Action', 'Adventure', 'Drama']",315465,ja,28.677,2015-07-11,The Boy and the Beast,8.0,959
"['Drama', 'Thriller', 'Crime']",146233,en,27.602,2013-09-18,Prisoners,8.0,7819
['Drama'],10404,zh,8.912,1991-12-20,Raise the Red Lantern,8.0,424
"['Drama', 'Comedy', 'Romance']",11104,cn,17.381,1994-07-14,Chungking Express,8.0,814
"['Drama', 'Mystery', 'Romance']",110,fr,14.637,1994-05-27,Three Colors: Red,8.0,811
['Comedy'],160885,it,4.535,1999-05-12,Tel chi el telùn,8.0,270
"['Drama', 'Action', 'Comedy']",11712,ja,7.25,1962-01-01,Sanjuro,8.0,341
"['Animation', 'Family', 'Romance']",140420,en,7.735,2012-11-02,Paperman,8.0,1346
['Drama'],48035,da,7.822,1955-01-09,Ordet,8.0,200
['Comedy'],38286,it,7.341,1997-12-27,Three Men and a Leg,8.0,1601
"['Drama', 'War']",20941,es,14.719,2004-11-05,Innocent Voices,8.0,223
"['Thriller', 'Mystery']",1092,en,14.595,1949-08-31,The Third Man,8.0,1145
"['Drama', 'Romance', 'War']",3175,en,12.741,1975-11-26,Barry Lyndon,8.0,1788
"['Music', 'Drama', 'History']",279,en,15.288,1984-09-06,Amadeus,8.0,2871
"['Drama', 'Family']",28178,en,29.381,2009-06-13,Hachi: A Dog's Tale,8.0,4944
"['Drama', 'Horror', 'Thriller']",10242,en,9.909,1962-10-31,What Ever Happened to Baby Jane?,8.0,642
"['Family', 'Animation', 'Fantasy']",110416,en,16.276,2014-09-06,Song of the Sea,8.0,942
"['Animation', 'Action', 'Adventure', 'Fantasy', 'Drama']",635302,ja,231.531,2020-10-16,Demon Slayer: Mugen Train,8.0,450
"['Crime', 'Drama', 'Comedy']",106646,en,82.85,2013-12-25,The Wolf of Wall Street,8.0,17077
