,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us,month
202,15.053,5925,False,1614,8.0,The Great Escape,1963-06-20,en,The Great Escape,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",/qARiRFzDRzRwMm7j13K5dUczqVh.jpg,False,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",/aCPW2GTrFguhI06pdU2DBrO50pU.jpg,501,The Great Escape,1963,Approved,57115,172,"Adventure, Drama, History",86.0,8.2,221678,12.1,6
203,11.614,7857,False,633,8.0,Amarcord,1973-12-13,it,Amarcord,"['Comedy', 'Drama']",/iFQzlUmO5QmMPcSHHDdfd522x33.jpg,False,"In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.",/ruVrgGjSMDfDL3dABWzPxUXNNi6.jpg,917,Amarcord,1973,R,71129,123,"Comedy, Drama",,7.9,39272,,12
204,20.497,627,False,6927,8.0,Trainspotting,1996-02-23,en,Trainspotting,"['Drama', 'Crime']",/Aw0z8bUhGljT0ots6udf1MTLEMi.jpg,False,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",/6UTzw3kipgTYAJCX8GExoXzcVOx.jpg,469,Trainspotting,1996,R,117951,93,Drama,83.0,8.1,627753,16.5,2
205,20.114,25376,False,1609,8.0,The Secret in Their Eyes,2009-08-13,es,El secreto de sus ojos,"['Crime', 'Drama', 'Mystery']",/fNHCogWhABNAmzk0IFdzQP5XLYj.jpg,False,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,/r3FctmAMk2tbrwxuWdpeLrZLwIz.jpg,561,The Secret in Their Eyes,2009,R,1305806,129,"Drama, Mystery, Romance",80.0,8.2,190024,6.39,8
206,49.406,1091,False,4174,8.0,The Thing,1982-06-25,en,The Thing,"['Horror', 'Mystery', 'Science Fiction']",/lS9oEknIMaNvIm2zpXg5MXDDmZx.jpg,False,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.",/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,483,The Thing,1982,R,84787,109,"Horror, Mystery, Sci-Fi",57.0,8.1,365642,13.78,6
207,32.773,60935,False,1883,6.1,The Thing,2011-10-12,en,The Thing,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",/lzW4nCeBkDf92XQg7OPFe3MQ6xl.jpg,False,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",/sOZc3U9acAqlItsI7amSGKUdd7k.jpg,483,The Thing,1982,R,84787,109,"Horror, Mystery, Sci-Fi",57.0,8.1,365642,13.78,10
208,11.635,17295,False,406,8.0,The Battle of Algiers,1966-09-08,it,La battaglia di Algeri,"['Drama', 'History', 'War']",/A5sZ1OxIH5StZgqBE9MslgsWjK6.jpg,False,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,/9fHkCuYEKsu7j0xsI2HbBvlZNZc.jpg,813,The Battle of Algiers,1966,Not Rated,58946,121,"Drama, War",96.0,8.1,51951,0.06,9
209,24.52,10515,False,2530,8.0,Castle in the Sky,1986-08-02,ja,天空の城ラピュタ,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family', 'Romance']",/syCMqs6Bp9bNzgBawnWAd1QvR1U.jpg,False,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,/npOnzAbLh6VOIu3naU5QaEcTepo.jpg,902,Castle in the Sky,1986,PG,92067,125,"Animation, Adventure, Drama",78.0,8.0,147317,,8
210,22.281,947,False,1861,8.0,Lawrence of Arabia,1962-12-11,en,Lawrence of Arabia,"['Adventure', 'Drama', 'History', 'War']",/mx2jS5Kaa5rmaldEFzKeKpDN9Q2.jpg,False,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",/vOEbimiBaTQr9SDFfDHHWCZdZK2.jpg,327,Lawrence of Arabia,1962,Approved,56172,228,"Adventure, Biography, Drama",100.0,8.3,264203,44.82,12
211,18.544,334533,False,4588,8.0,Captain Fantastic,2016-07-02,en,Captain Fantastic,"['Adventure', 'Drama']",/e2JIcIw936BhUPc38uJxEJXFnzY.jpg,False,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,/2sFME73GaD8UsUxPUKe60cPdLif.jpg,572,Captain Fantastic,2016,R,3553976,118,"Comedy, Drama",72.0,7.9,185075,5.88,7
